date,product,technosmart_price,rozetka_price,foxtrot_price,allo_price
2026-01-28 10:00:00,Samsung Galaxy Buds2 Pro,5499,5699.0,5799.0,5899.0
2026-01-29 10:00:00,Samsung Galaxy Buds2 Pro,5499,5699.0,5799.0,5899.0
2026-01-30 10:00:00,Samsung Galaxy Buds2 Pro,5499,5399.0,5799.0,5899.0
2026-01-31 10:00:00,Samsung Galaxy Buds2 Pro,5499,5399.0,5799.0,5899.0
2026-02-01 10:00:00,Samsung Galaxy Buds2 Pro,5499,5399.0,5799.0,5899.0
2026-02-02 10:00:00,Samsung Galaxy Buds2 Pro,5499,5399.0,5799.0,5899.0
2026-02-03 10:00:00,Samsung Galaxy Buds2 Pro,5499,5399.0,5799.0,5899.0
2026-01-28 10:00:00,Apple AirPods Pro,28999,29999.0,30999.0,31999.0
2026-01-29 10:00:00,Apple AirPods Pro,28999,29999.0,30999.0,31999.0
2026-01-30 10:00:00,Apple AirPods Pro,28999,29999.0,30999.0,31999.0
2026-01-31 10:00:00,Apple AirPods Pro,28999,29999.0,30999.0,31999.0
2026-02-01 10:00:00,Apple AirPods Pro,28999,29999.0,30999.0,31999.0
2026-02-02 10:00:00,Apple AirPods Pro,28999,29999.0,30999.0,31999.0
2026-02-03 10:00:00,Apple AirPods Pro,28999,29999.0,30999.0,31999.0
2026-02-16 18:01:39,Apple AirPods Pro,28999,,,11699.0
2026-02-16 18:03:35,Samsung Galaxy Buds2 Pro,5499,,,14099.0
2026-02-16 18:06:00,Xiaomi Redmi Buds 4 Pro,2199,,,3199.0
2026-02-16 18:08:12,Anker PowerCore 20000mAh,1599,,,
2026-02-16 18:10:29,JBL Charge 5,4799,,,
2026-02-16 19:05:30,Apple AirPods Pro,28999,,,11699.0
2026-02-16 19:08:12,Samsung Galaxy Buds2 Pro,5499,,,3199.0
2026-02-16 19:10:56,Xiaomi Redmi Buds 4 Pro,2199,,,3199.0
2026-02-16 19:12:05,Apple AirPods Pro,28999,,,
2026-02-16 19:12:08,Anker PowerCore 20000mAh,1599,,,
2026-02-17 10:40:57,Samsung Galaxy Buds2 Pro,5499,,,3199.0
2026-02-17 10:41:05,JBL Charge 5,4799,,,
2026-02-17 10:42:19,Apple AirPods Pro,28999,,,11699.0
2026-02-17 10:43:29,Xiaomi Redmi Buds 4 Pro,2199,,,3199.0
2026-02-17 10:45:09,Samsung Galaxy Buds2 Pro,5499,,,3199.0
2026-02-17 10:45:50,Anker PowerCore 20000mAh,1599,,,
2026-02-17 10:48:10,JBL Charge 5,4799,,,
2026-02-17 10:48:10,Xiaomi Redmi Buds 4 Pro,2199,,,3199.0
2026-02-17 10:50:59,Anker PowerCore 20000mAh,1599,,,
2026-02-17 10:53:37,JBL Charge 5,4799,,,
2026-02-17 11:01:08,Apple AirPods Pro,28999,,,11699.0
2026-02-17 11:03:30,Samsung Galaxy Buds2 Pro,5499,,,3199.0
2026-02-17 11:05:50,Xiaomi Redmi Buds 4 Pro,2199,,,3199.0
2026-02-17 11:08:00,Anker PowerCore 20000mAh,1599,,,
2026-02-17 11:10:14,JBL Charge 5,4799,,,
